package,member,total
crypto/sha256,Sum256,35
os,NewFile,35
cmd/link/internal/ld,Diag,35
crypto/sha256,New,35
os,Getpid,35
path/filepath,ToSlash,35
encoding/pem,Decode,34
path/filepath,EvalSymlinks,33
os,IsPermission,33
io,MultiWriter,33
math,NaN,33
unicode/utf8,RuneCountInString,33
encoding/gob,NewDecoder,33
runtime/pprof,StopCPUProfile,33
runtime/pprof,StartCPUProfile,33
log,Panicf,33
math/rand,NewSource,32
cmd/link/internal/ld,Linklookup,32
container/heap,Pop,32
strings,Title,32
image,NewRGBA,31
path/filepath,IsAbs,31
os,IsPathSeparator,31
cmd/compile/internal/gc,Cgen,31
bytes,Index,31
bytes,Contains,30
C,GLdouble,30
strings,IndexRune,30
runtime,Gosched,30
crypto/x509,NewCertPool,30
runtime,UnlockOSThread,29
math,Exp2,29
strconv,Unquote,29
strings,TrimLeft,29
syscall,Close,29
net,ResolveUDPAddr,29
syscall,Kill,29
unicode/utf8,DecodeRune,29
expvar,NewInt,29
bytes,Buffer.Fatal,28
flag,Var,28
crypto/x509,ParseCertificate,28
bytes,TrimSpace,28
C,GoBytes,28
math,Sin,27
crypto/sha1,New,27
runtime,NumGoroutine,27
reflect,MakeSlice,27
reflect,Zero,27
math,Min,26
html/template,New,26
strconv,Quote,26
sync/atomic,LoadUint32,26
math/rand,Perm,26
bytes,Trim,25
sort,Search,25
sort,StringSlice,25
go/format,Source,25
net,ResolveTCPAddr,25
testing/quick,Check,25
fmt,Fscanf,25
archive/tar,NewReader,25
encoding/xml,NewDecoder,25
cmd/link/internal/ld,Adduint32,24
os,IsExist,24
crypto/rand,Int,24
encoding/gob,NewEncoder,24
unicode/utf8,EncodeRune,24
time,AfterFunc,24
math,Max,23
net/url,QueryEscape,23
syscall,Unmount,23
net,IP,23
html/template,HTML,23
encoding/pem,Encode,23
cmd/compile/internal/gc,Regalloc,23
net/url,Values,23
net/http,Header.Set,23
unicode,IsUpper,22
crypto/rsa,GenerateKey,22
net,IP.String,22
sync/atomic,StoreInt32,22
os,NewError,22
crypto/aes,NewCipher,22
archive/tar,NewWriter,21
encoding/base64,NewDecoder,21
runtime,Stack,21
net,ListenPacket,21
math,Ceil,21
syscall,UTF16ToString,21
unicode,IsDigit,21
net/http,StatusText,21
bytes,Buffer.ReadFrom,21
container/heap,Push,21
path,Split,20
path/filepath,Glob,20
strings,ContainsAny,20
sort,Stable,20
net/http,Serve,20
unicode,IsLower,20
cmd/link/internal/ld,Cseek,20
time,FixedZone,20
math,Cos,20
time,Time.Int,20
math,Float64frombits,20
container/heap,Init,19
cmd/compile/internal/gc,Regfree,19
math/big,Int.Cmp,19
crypto/ecdsa,GenerateKey,19
syscall,BytePtrFromString,19
cmd/compile/internal/gc,Tempname,19
cmd/internal/obj,Linklookup,19
sync/atomic,StoreUint32,19
crypto/tls,LoadX509KeyPair,19
os,Chtimes,19
net/url,QueryUnescape,18
log,SetPrefix,18
html,EscapeString,18
C,GLshort,18
cmd/compile/internal/gc,Nodreg,18
os,Unsetenv,18
strings,NewReplacer,18
time,Duration.Seconds,18
syscall,NewLazyDLL,18
syscall,NewCallback,18
encoding/xml,Unmarshal,18
runtime,SetFinalizer,18
C,ExceptionOccurred,18
net,ListenUDP,17
net,CIDRMask,17
time,Time.IsZero,17
strings,ContainsRune,17
math,Float32frombits,17
image/png,Encode,17
crypto/tls,Dial,17
cmd/compile/internal/gc,Patch,17
io,LimitReader,17
sort,IsSorted,16
encoding/csv,NewReader,16
math/rand,Int31,16
internal/testenv,MustHaveExternalNetwork,16
testing,TB.Logf,16
log,Panic,16
strconv,AppendFloat,16
strings,IndexAny,16
net/http,SetCookie,16
fmt,Scanf,16
syscall,SetsockoptInt,16
net,InterfaceByName,16
syscall,Statfs,16
crypto/subtle,ConstantTimeCompare,15
net/http,PostForm,15
net/http,ServeFile,15
flag,Int64,15
syscall,StringToUTF16Ptr,15
testing,TB.Skip,15
path,IsAbs,15
net/url,ParseRequestURI,15
strings,IndexByte,15
C,CFNumberGetValue,15
image/draw,Draw,15
mime,ParseMediaType,15
bufio,NewWriterSize,15
reflect,Append,14
path/filepath,SplitList,14
io,ReadCloser.Close,14
C,uint,14
common,ErrExit,14
sync/atomic,AddInt64,14
unsafe,Offsetof,14
text/tabwriter,Writer.Init,14
math/big,Int.Add,14
flag,Lookup,14
sync/atomic,AddUint64,14
syscall,GetsockoptInt,14
math/rand,Int63,14
net/http,FileServer,14
mime/multipart,NewWriter,14
go/ast,Inspect,14
time,LoadLocation,14
io,TeeReader,14
math,Float64bits,14
unicode,ToLower,14
time,Time.Add,14
net,ParseMAC,14
fmt,Sscan,14
net/http,Handler.ServeHTTP,13
net/url,URL.String,13
cmd/compile/internal/gc,Gbranch,13
net,Interfaces,13
hash/fnv,New64a,13
flag,Uint,13
reflect,PtrTo,13
math/rand,Float32,13
net/http/httptest,NewUnstartedServer,13
time,ParseInLocation,13
sync/atomic,LoadInt64,13
net/textproto,MIMEHeader,12
archive/zip,OpenReader,12
image,NewRGBA64,12
encoding/xml,Marshal,12
mime,TypeByExtension,12
syscall,Open,12
math,Exp,12
math/rand,Uint32,12
net/url,Values.Encode,12
sync/atomic,Value.Load,12
syscall,Exec,12
strconv,AppendBool,12
log,Panicln,12
runtime/debug,Stack,12
net,Conn.Write,12
bytes,IndexAny,12
image,NewNRGBA,12
archive/zip,NewWriter,12
text/tabwriter,Writer.Flush,12
unicode,Is,12
crypto/sha512,New,12
bytes,Join,12
unicode,ToUpper,12
cmd/link/internal/ld,Adduint64,11
encoding/asn1,ObjectIdentifier,11
syscall,Read,11
sync/atomic,Value.Store,11
syscall,Umask,11
fmt,Line,11
testing/quick,CheckEqual,11
encoding/hex,Decode,11
sync/atomic,CompareAndSwapInt32,11
go/token,Pos,11
html/template,HTMLEscape,11
sync,NewCond,11
optionalfieldstest,NewAllOptional,11
os,Chown,11
regexp,Match,11
crypto/x509,CreateCertificate,11
encoding/hex,Encode,11
unicode/utf8,ValidString,11
go/importer,Default,11
crypto/elliptic,P256,11
runtime,Version,11
syscall,Sysctl,10
net/http,Header,10
rand,Uint32,10
storage,NewUserSubscriptions,10
net/url,String,10
C,malloc,10
syscall,Wait4,10
unicode/utf8,RuneLen,10
cmd/link/internal/ld,Cflush,10
time,Time.Equal,10
os,Getuid,10
rand,Intn,10
runtime,GOROOT,10
compress/bzip2,NewReader,10
crypto/x509,ParsePKCS1PrivateKey,10
crypto/elliptic,P384,10
bytes,SplitN,10
appengine,NewContext,10
math/big,Int.Mod,10
image,Decode,10
io,WriteCloser.Write,10
reflect,Typeof,10
flag,Float64,10
strings,Compare,10
C,GLsync,10
strings,FieldsFunc,10
cmd/link/internal/ld,Datblk,9
reflect,Type.Elem,9
syscall,RawSyscall,9
container/list,New,9
net/http,Header.Add,9
go/ast,Walk,9
crypto/md5,Sum,9
syscall,Unlink,9
crypto/elliptic,P521,9
cmd/link/internal/ld,Symaddr,9
reflect,Value.Type,9
path/filepath,Match,9
flag,UintVar,9
net/http,Server.Serve,9
syscall,Stat,9
go/types,Config.Check,9
runtime/internal/atomic,Casuintptr,9
clive/cmd,Warn,9
math/big,Int.Mul,9
syscall,LoadDLL,9
reflect,Value,9
sort,Float64s,9
internal/testenv,Builder,9
C,jstring,9
path,Ext,9
math,Tan,9
expvar,Publish,9
syscall,CloseOnExec,9
flag,DurationVar,9
encoding/binary,ByteOrder.Uint32,8
bytes,ToLower,8
net/url,ParseQuery,8
crypto/tls,Client,8
reflect,Type.Kind,8
expvar,NewMap,8
crypto/x509,MarshalPKCS1PrivateKey,8
runtime/debug,PrintStack,8
os,Link,8
math,Signbit,8
encoding/json,RawMessage,8
time,Time.Now,8
misc/packet,Pack,8
bytes,TrimRight,8
math/big,Int.Div,8
encoding/hex,DecodedLen,8
net/http/httputil,NewClientConn,8
go/ast,IsExported,8
sync/atomic,AddUint32,8
net/http/httptest,NewTLSServer,8
syscall,Chdir,8
net,Conn.SetReadDeadline,8
reflect,MakeMap,8
reflect,Copy,8
go/parser,ParseExpr,8
go/build,Import,8
errors,Sort,8
net,Conn.SetWriteDeadline,8
errors,Err,8
sort,StringsAreSorted,8
net/http,DetectContentType,8
io,Writer.Header,8
internal/testenv,MustHaveGoBuild,8
encoding/json,Number,8
cmd/link/internal/ld,Addrel,8
net,Listener.Close,8
net/http,Header.Get,8
bytes,Buffer.Truncate,8
crypto/sha1,Sum,8
debug/elf,Open,7
net,LookupIP,7
syscall,Dir.Null,7
syscall,Bind,7
cmd/compile/internal/gc,Nodconst,7
bytes,Buffer.ResetTimer,7
syscall,Socket,7
crypto/tls,Listen,7
syscall,NsecToTimespec,7
flag,Uint64Var,7
io,MultiReader,7
crypto/tls,X509KeyPair,7
C,CFTypeRef,7
io,WriteCloser.Close,7
strings,IndexFunc,7
os/user,Lookup,7
sort,Reverse,7
image,NewGray,7
bytes,LastIndex,7
flag,Set,7
math,Hypot,7
hash/fnv,New32a,7
net/textproto,MIMEHeader.Set,7
os,StartProcess,7
crypto/des,NewCipher,7
clive/cmd,SetEnv,7
crypto,RegisterHash,7
strings,SplitAfter,7
net/http,ServeContent,7
os,Geteuid,7
bytes,HasSuffix,7
time,Time.Sub,7
crypto/rsa,SignPKCS1v15,7
net,FileConn,7
encoding/xml,NewEncoder,7
math,Atan2,7
os,ExpandEnv,7
io,Reader.Read,7
crypto/x509,MarshalECPrivateKey,7
os/signal,Stop,7
unicode/utf16,Decode,7
net,ListenTCP,7
net/http,StripPrefix,7
syscall,Dir.Marshal,7
math/big,Int.Bytes,7
cmd/compile/internal/gc,Agen,7
os,ErrorString,7
net,ResolveIPAddr,7
syscall,Dup2,7
encoding/binary,Size,7
internal/testenv,SkipFlakyNet,7
testing,AllocsPerRun,7
runtime,Goexit,7
math,Log,7
archive/zip,NewReader,7
time,Time,7
encoding/json,Indent,7
html/template,ParseFiles,6
syscall,Getpagesize,6
syscall,Getrlimit,6
delay,Millisec,6
crypto/elliptic,Marshal,6
compress/flate,NewWriter,6
unicode/utf8,ValidRune,6
net/http/cookiejar,New,6
runtime/debug,FreeOSMemory,6
runtime,Breakpoint,6
cmd/link/internal/ld,Addaddrplus,6
image/jpeg,Encode,6
bufio,NewReaderSize,6
go/constant,MakeInt64,6
encoding/pem,EncodeToMemory,6
jarvis/util,Check,6
compress/flate,NewReader,6
encoding/hex,EncodedLen,6
sync/atomic,StoreInt64,6
clive/cmd,Dprintf,6
sync/atomic,LoadPointer,6
net/http/httputil,DumpRequest,6
go/build,IsLocalImport,6
crypto/hmac,Equal,6
unicode,IsPrint,6
reflect,Value.Interface,6
encoding/xml,MarshalIndent,6
testing,Benchmark,6
unicode,In,6
go/types,NewPointer,6
archive/zip,FileInfoHeader,6
net,Listener.Accept,6
math,Pow10,6
math,Copysign,6
os,FindProcess,6
math/big,Int.Sub,6
runtime/internal/atomic,Load,6
net,IP.To4,6
go/printer,Fprint,6
net/rpc,NewClient,6
bytes,TrimPrefix,6
net,FileListener,6
os,SameFile,6
unicode/utf8,FullRune,6
crypto/x509,MarshalPKIXPublicKey,5
math,Log10,5
os/user,LookupId,5
net/rpc,DialHTTP,5
regexp,QuoteMeta,5
net/http,ListenAndServeTLS,5
runtime/internal/atomic,Loaduintptr,5
io,ReadAtLeast,5
runtime/internal/atomic,Load64,5
encoding/binary,PutUvarint,5
