FQN,Member,Type,occurrences
java.io.DataOutputStream,writeInt,method,404
java.nio.file.Path,toString,method,403
java.lang.Number,doubleValue,method,402
java.lang.reflect.Method,getDeclaringClass,method,402
java.lang.Double,MIN_VALUE,variable,401
java.util.concurrent.Executors,newFixedThreadPool,method,398
java.io.DataInputStream,readInt,method,395
java.lang.reflect.Array,newInstance,method,394
java.util.logging.Logger,warning,method,391
java.util.Collections,singletonMap,method,390
java.lang.Class,cast,method,390
java.sql.SQLException,getMessage,method,389
java.net.Socket,close,method,389
java.lang.Appendable,append,method,388
java.util.Collection,addAll,method,388
java.util.Queue,poll,method,387
java.sql.PreparedStatement,setLong,method,387
java.util.concurrent.ConcurrentHashMap,put,method,386
java.security.MessageDigest,digest,method,386
java.util.Collections,EMPTY_LIST,variable,383
java.lang.Class,isArray,method,383
java.util.concurrent.TimeUnit,MINUTES,variable,381
java.sql.ResultSet,getObject,method,380
java.lang.Object,getName,method,379
java.util.ListIterator,hasNext,method,379
java.net.URI,toString,method,378
java.lang.Iterable,iterator,method,378
java.lang.Exception,getCause,method,377
java.nio.charset.Charset,defaultCharset,method,375
java.io.File,canRead,method,374
java.net.HttpURLConnection,setRequestProperty,method,373
java.lang.Process,getInputStream,method,373
java.lang.Long,toHexString,method,371
java.util.Objects,hash,method,370
java.util.concurrent.ConcurrentMap,put,method,370
java.security.MessageDigest,update,method,370
java.lang.RuntimeException,getMessage,method,367
java.sql.SQLException,getSQLState,method,366
java.util.SortedMap,put,method,365
java.lang.Short,valueOf,method,365
java.util.Random,nextFloat,method,364
java.lang.Object,getString,method,364
java.nio.FloatBuffer,get,method,360
java.io.File,toPath,method,355
java.lang.String,replaceFirst,method,354
java.net.HttpURLConnection,getResponseCode,method,354
java.time.YearMonth,of,method,354
java.lang.System,getProperties,method,353
java.util.regex.Pattern,CASE_INSENSITIVE,variable,351
java.lang.Character,toLowerCase,method,350
java.lang.String,get,method,350
java.lang.Class,isPrimitive,method,349
java.lang.Exception,getLocalizedMessage,method,348
java.util.logging.Level,FINER,variable,348
java.lang.Class,getAnnotation,method,347
java.lang.Object,clone,method,345
java.util.Comparator,compare,method,345
java.lang.Float,floatToIntBits,method,344
java.util.Collections,addAll,method,342
java.lang.System,lineSeparator,method,342
java.net.HttpURLConnection,getInputStream,method,341
java.nio.ByteBuffer,capacity,method,341
java.util.LinkedList,isEmpty,method,340
java.beans.PropertyChangeEvent,getPropertyName,method,339
java.time.LocalDate,of,method,339
