fqn,member,type,total
javax.swing.JOptionPane,QUESTION_MESSAGE,variable,109
java.awt.GridBagConstraints,REMAINDER,variable,109
org.codehaus.jettison.json.JSONObject,put,method,109
com.orientechnologies.common.log.OLogManager,instance,method,109
java.net.Socket,setSoTimeout,method,109
net.minecraft.block.Block,getBlockById,method,109
android.view.GestureDetector,onTouchEvent,method,109
org.sleuthkit.autopsy.coreutils.Logger,log,method,109
com.eucalyptus.util.Exceptions,toUndeclared,method,109
javafx.scene.control.TextField,getText,method,109
com.github.sakserv.propertyparser.PropertyParser,getProperty,method,109
com.gitblit.models.RepositoryModel,authorizationControl,method,109
org.eclipse.swt.widgets.Combo,add,method,109
javax.jcr.Node,getSession,method,109
javax.swing.JPanel,setBackground,method,109
java.util.Scanner,next,method,109
ims.framework.controls.DynamicGridCell,setWidth,method,109
java.util.GregorianCalendar,getTime,method,109
org.eclipse.persistence.oxm.mappings.XMLCompositeObjectMapping,setXPath,method,109
org.eclipse.persistence.internal.libraries.antlr.runtime.RecognizerSharedState,type,method,109
java.util.Set,length,method,109
org.eclipse.persistence.internal.libraries.antlr.runtime.RecognizerSharedState,channel,method,109
org.telegram.SQLite.SQLitePreparedStatement,bindInteger,method,109
android.graphics.Canvas,rotate,method,109
javax.persistence.GenerationType,AUTO,variable,109
org.eclipse.persistence.oxm.mappings.XMLCompositeObjectMapping,setReferenceClass,method,109
org.voltdb.client.ClientResponse,getResults,method,108
com.intellectualcrafters.plot.util.MainUtil,sendMessage,method,108
java.util.EnumMap,get,method,108
fi.uef.envi.emrooz.test.ParamsConverterTest,S,variable,108
java.awt.image.Raster,getSampleDouble,method,108
java.util.zip.ZipFile,getEntry,method,108
co.cask.cdap.api.common.Bytes,toBytes,method,108
android.location.LocationManager,GPS_PROVIDER,variable,108
java.sql.CallableStatement,registerOutParameter,method,108
org.drools.core.process.instance.impl.WorkItemImpl,setParameter,method,108
org.kitesdk.morphline.api.Record,put,method,108
org.fenixedu.bennu.core.domain.Bennu,getInstance,method,108
java.util.Map,add,method,108
org.eclipse.emf.ecore.EPackage,R,variable,108
java.util.ServiceLoader,load,method,108
org.drools.core.time.impl.PseudoClockScheduler,advanceTime,method,108
com.loopj.android.http.RequestParams,put,method,108
org.openrdf.repository.RepositoryConnection,add,method,108
com.xinqihd.sns.gameserver.db.UserManager,getInstance,method,108
org.apache.zookeeper.ZooDefs.Ids,OPEN_ACL_UNSAFE,variable,108
com.dianping.cat.Cat,logError,method,108
javax.swing.GroupLayout,createSequentialGroup,method,108
com.google.common.io.Files,write,method,108
com.salesforce.ide.core.internal.utils.Utils,isNotEmpty,method,108
com.cloud.utils.db.SearchCriteria.Op,EQ,variable,107
javax.servlet.http.HttpServletRequest,getParameterMap,method,107
android.os.Parcel,writeLong,method,107
org.kie.internal.runtime.StatefulKnowledgeSession,setGlobal,method,107
java.util.Hashtable,keys,method,107
net.minecraft.util.BlockPos,getY,method,107
java.io.DataOutput,writeByte,method,107
com.intellij.openapi.vfs.VirtualFile,getParent,method,107
android.view.View,setPadding,method,107
com.intellij.util.Processor,process,method,107
org.elasticsearch.search.aggregations.Aggregator.SubAggCollectionMode,values,method,107
android.view.View,addView,method,107
com.intellij.core.CoreApplicationEnvironment,addExtension,method,107
java.nio.charset.CoderResult,UNDERFLOW,variable,107
com.litle.sdk.generate.AuthorizationResponse,getMessage,method,107
org.bouncycastle.util.encoders.Hex,encode,method,107
javax.swing.JTextField,setEnabled,method,107
org.python.pydev.core.log.Log,log,method,107
com.intellij.uiDesigner.core.GridConstraints,SIZEPOLICY_CAN_SHRINK,variable,107
com.mb.android.logging.AppLogger,getLogger,method,107
org.eclipse.osgi.util.NLS,bind,method,107
org.yaml.snakeyaml.Yaml,load,method,107
javax.swing.BoxLayout,X_AXIS,variable,107
loci.common.DateTools,formatDate,method,107
com.dotcms.repackage.javax.portlet.ActionRequest,getParameter,method,107
android.graphics.Paint,setTextAlign,method,107
com.evolveum.midpoint.prism.PrismObject,asObjectable,method,107
android.os.Bundle,putLong,method,107
net.minecraft.util.math.BlockPos,getY,method,107
com.intellij.openapi.module.Module,getName,method,107
org.worldgrower.Constants,RELATIONSHIPS,variable,107
tyrant.mikera.engine.Lib,extend,method,107
java.sql.PreparedStatement,executeBatch,method,106
org.apache.hadoop.mapreduce.TaskType,MAP,variable,106
java.sql.ResultSetMetaData,getColumnName,method,106
java.lang.Class,getEnumConstants,method,106
javax.swing.JComboBox,setSelectedIndex,method,106
com.squareup.okhttp.Request,B,variable,106
org.axonframework.test.FixtureConfiguration,given,method,106
kodkod.ast.Variable,oneOf,method,106
java.text.DateFormat,SHORT,variable,106
org.elasticsearch.client.Client,prepareSearch,method,106
org.tanaguru.entity.audit.ProcessResult,getElementCounter,method,106
org.jsoup.select.Elements,get,method,106
com.google.common.collect.Iterables,size,method,106
java.nio.file.StandardCopyOption,REPLACE_EXISTING,variable,106
net.minecraft.item.ItemStack,setTagCompound,method,106
java.text.DateFormat,setTimeZone,method,106
java.util.TreeMap,keySet,method,106
android.view.ViewGroup.LayoutParams,MATCH_PARENT,variable,106
com.sun.tools.javac.util.List,nonEmpty,method,106
framework.Semantic,A,variable,106
org.elasticsearch.common.xcontent.XContentParser,currentName,method,106
android.content.Intent,EXTRA_SUBJECT,variable,106
com.google.inject.name.Names,named,method,106
org.apache.hadoop.mapred.JobConf,set,method,106
org.apache.commons.lang.StringUtils,split,method,106
com.intellij.psi.PsiFile,getVirtualFile,method,106
android.content.res.TypedArray,getInteger,method,106
android.support.design.widget.Snackbar,LENGTH_LONG,variable,105
javax.jdo.PersistenceManager,newQuery,method,105
com.bigdata.rdf.model.BigdataValueFactory,createLiteral,method,105
com.smartdevicelink.util.DebugTool,logError,method,105
org.apache.hadoop.io.WritableUtils,writeVInt,method,105
java.sql.Types,DECIMAL,variable,105
org.tanaguru.rules.keystore.HtmlElementStore,TEXT_ELEMENT,variable,105
org.eclipse.jface.dialogs.IDialogConstants,OK_ID,variable,105
javax.faces.context.ResponseWriter,writeAttribute,method,105
com.todoroo.astrid.data.Task,getValue,method,105
com.alibaba.wasp.jdbc.Logger,logAndConvert,method,105
android.content.ContentUris,withAppendedId,method,105
org.apache.commons.lang.StringUtils,trimToNull,method,105
org.mockito.Mockito,anyString,method,105
java.util.Date,toString,method,105
java.util.LinkedList,push,method,104
java.lang.Throwable,addSuppressed,method,104
java.math.BigDecimal,scale,method,104
java.util.concurrent.ConcurrentHashMap,containsKey,method,104
javax.servlet.http.HttpServletRequest,getRequestURL,method,104
org.elasticsearch.common.io.stream.StreamInput,readVInt,method,104
org.eclipse.swt.widgets.Composite,layout,method,104
java.lang.reflect.Modifier,PUBLIC,variable,104
com.google.gwt.json.client.JSONObject,put,method,104
java.awt.FontMetrics,stringWidth,method,104
java.sql.Types,NUMERIC,variable,104
android.animation.ValueAnimator,addUpdateListener,method,104
java.awt.image.DataBuffer,TYPE_USHORT,variable,104
org.sufficientlysecure.keychain.Constants,TAG,variable,104
com.google.common.collect.Sets,difference,method,104
jmri.jmrit.catalog.NamedIcon,getIconWidth,method,104
java.lang.Comparable,compareTo,method,104
jmri.jmrit.catalog.NamedIcon,getIconHeight,method,104
org.telegram.messenger.AnimationCompat.ObjectAnimatorProxy,ofFloat,method,104
edu.umd.cs.findbugs.OpcodeStack,getStackItem,method,104
com.facebook.presto.spi.predicate.ValueSet,ofRanges,method,104
org.opencms.file.CmsObject,getRelationsForResource,method,104
javax.imageio.metadata.IIOMetadataNode,setAttribute,method,104
net.minecraft.util.math.BlockPos,getX,method,104
com.google.security.zynamics.reil.ReilHelpers,createBsh,method,104
android.graphics.Paint,setTypeface,method,104
com.gitblit.Constants.AuthorizationControl,NAMED,variable,104
java.io.File,getCanonicalFile,method,104
org.apache.http.client.methods.HttpGet,addHeader,method,104
java.util.Properties,propertyNames,method,104
java.rmi.RemoteException,getMessage,method,104
com.asakusafw.compiler.flow.FlowGraphGenerator,connect,method,104
io.netty.buffer.ByteBuf,readByte,method,104
javax.jcr.Node,hasProperty,method,104
com.google.common.base.Suppliers,ofInstance,method,104
com.redhat.ceylon.compiler.typechecker.tree.Tree,P,variable,104
java.util.regex.Matcher,appendReplacement,method,104
com.myblockchain.clusterj.core.store.Column,getColumnId,method,104
net.minecraft.util.math.BlockPos,getZ,method,104
com.intellij.icons.AllIcons,G,variable,104
org.apache.ecs.ElementContainer,addElement,method,104
org.zstack.core.db.SimpleQuery,add,method,104
java.util.Properties,entrySet,method,104
org.bukkit.entity.Player,getUniqueId,method,104
java.awt.event.KeyEvent,VK_ENTER,variable,103
org.deidentifier.arx.gui.resources.Resources,getMessage,method,103
org.apache.thrift.protocol.TTupleProtocol,readBitSet,method,103
java.lang.Class,length,method,103
javax.persistence.Persistence,createEntityManagerFactory,method,103
java.lang.Class,add,method,103
org.apache.thrift.protocol.TTupleProtocol,writeBitSet,method,103
net.minecraft.nbt.NBTTagList,tagCount,method,103
org.elasticsearch.common.io.stream.StreamOutput,writeVInt,method,103
java.io.FileWriter,append,method,103
org.pentaho.di.ui.core.widget.TextVar,addModifyListener,method,103
com.oracle.truffle.r.runtime.RError,M,variable,103
javax.xml.bind.Marshaller,setProperty,method,103
com.laytonsmith.core.constructs.CArray,get,method,103
com.liferay.portal.kernel.util.StringPool,BLANK,variable,103
railo.runtime.type.KeyImpl,init,method,103
org.zstack.test.DBUtil,reDeployDB,method,103
org.eclipse.jface.action.IToolBarManager,add,method,103
org.zstack.header.vm.VmInstanceInventory,getUuid,method,103
java.io.InputStream,reset,method,103
android.net.NetworkInfo,isConnected,method,103
javax.swing.JPanel,setVisible,method,103
java.lang.Boolean,equals,method,103
java.awt.event.MouseEvent,getSource,method,103
javax.swing.JRadioButton,setEnabled,method,103
org.apache.commons.configuration.Configuration,setProperty,method,103
org.openhab.binding.tinkerforge.internal.model.ModelPackage,MBRICKLET_ANALOG_IN_V,variable,103
com.att.research.xacmlatt.pdp.policy.ExpressionResult,getValue,method,102
android.view.ViewConfiguration,get,method,102
android.graphics.Paint,setShader,method,102
org.apache.wicket.markup.html.panel.Fragment,add,method,102
com.intellij.openapi.progress.ProgressIndicator,setText,method,102
utilities.PlayerTestHelper,createPlayer,method,102
java.lang.String,put,method,102
com.redhat.ceylon.model.typechecker.model.Declaration,getName,method,102
javax.ws.rs.client.WebTarget,path,method,102
net.minecraftforge.common.MinecraftForge,EVENT_BUS,variable,102
org.killbill.billing.account.api.Account,getId,method,102
net.minecraft.world.World,setBlockState,method,102
com.intellij.psi.PsiManager,getInstance,method,102
java.util.Scanner,hasNextLine,method,102
android.widget.RelativeLayout,setVisibility,method,102
android.view.MotionEvent,getPointerId,method,102
cpw.mods.fml.common.registry.GameRegistry,registerItem,method,102
org.auraframework.def.DefDescriptor,getName,method,102
com.google.gson.GsonBuilder,registerTypeAdapter,method,102
org.openhab.binding.tinkerforge.internal.model.ModelPackage,MBRICKLET_LCD,variable,102
java.math.BigDecimal,toString,method,102
android.widget.SeekBar,setOnSeekBarChangeListener,method,102
java.awt.event.MouseEvent,isPopupTrigger,method,102
com.google.api.ads.common.lib.auth.OfflineCredentials,B,variable,102
org.chromium.base.Log,d,method,102
java.net.InetSocketAddress,getHostName,method,102
java.lang.String,target,method,102
rx.Subscriber,onCompleted,method,102
android.view.View,setImageResource,method,102
javax.servlet.http.HttpServletRequest,getServletPath,method,102
org.apache.commons.configuration.XMLConfiguration,addProperty,method,102
javax.xml.parsers.SAXParser,parse,method,102
java.io.DataInputStream,readFully,method,102
javafx.animation.AnimationMock,finishCalled,method,102
ims.RefMan.vo.CatsReferralWizardVo,getCurrentStatus,method,101
java.lang.Runtime,freeMemory,method,101
org.eclipse.swt.SWT,FULL_SELECTION,variable,101
java.lang.StringBuffer,deleteCharAt,method,101
net.minecraft.client.renderer.VertexBuffer,pos,method,101
co.cask.cdap.proto.Id,P,variable,101
org.jvnet.hudson.test.JenkinsRule,createFreeStyleProject,method,101
javax.swing.Box,createHorizontalStrut,method,101
java.io.ObjectInput,readBoolean,method,101
com.smarthome.emulator.design.JNumberTextField,getText,method,101
net.bytebuddy.description.type.TypeDescription,G,variable,101
javafx.beans.property.BooleanProperty,set,method,101
org.apache.hadoop.mapred.OutputCollector,collect,method,101
javax.lang.model.element.Modifier,STATIC,variable,101
java.lang.System,setSecurityManager,method,101
org.eclipse.emf.common.util.EList,isEmpty,method,101
org.openhab.binding.tinkerforge.internal.model.ModelPackage,DIGITAL_ACTOR_IO,variable,101
com.google.testing.compile.JavaFileObjects,forSourceString,method,101
cz.metacentrum.perun.webgui.client.PerunWebSession,getUiElements,method,101
java.security.KeyFactory,generatePrivate,method,101
com.lowagie.text.pdf.PdfPTable,getDefaultCell,method,101
java.lang.Class,hashCode,method,101
com.thoughtworks.xstream.XStream,alias,method,101
edu.umd.cs.findbugs.OpcodeStack,I,variable,101
javax.swing.JRadioButton,addActionListener,method,101
org.compiere.util.DB,executeUpdate,method,101
android.view.ViewGroup,getChildCount,method,101
java.util.zip.ZipFile,getInputStream,method,101
java.util.Random,nextGaussian,method,101
io.crate.types.DataTypes,STRING,variable,101
java.sql.ResultSet,TYPE_SCROLL_INSENSITIVE,variable,101
org.eclipse.swt.widgets.Label,setEnabled,method,101
org.auraframework.throwable.quickfix.InvalidAccessValueException,getMessage,method,101
org.alfresco.web.app.Application,getMessage,method,101
java.net.HttpURLConnection,setDoInput,method,101
org.matheclipse.core.expression.F,NIL,variable,100
java.util.concurrent.Semaphore,acquire,method,100
java.util.Collection,length,method,100
javafx.collections.ObservableList,add,method,100
com.jetbrains.python.PyBundle,message,method,100
org.apache.uima.util.Level,FINEST,variable,100
java.util.LinkedHashMap,keySet,method,100
javax.persistence.criteria.CriteriaBuilder,equal,method,100
java.io.FileNotFoundException,getMessage,method,100
okio.Buffer,writeByte,method,100
org.eclipse.emf.ecore.xml.type.XMLTypePackage,getInteger,method,100
java.util.BitSet,cardinality,method,100
java.util.concurrent.ScheduledFuture,cancel,method,100
java.awt.image.BufferedImage,getGraphics,method,100
java.awt.image.BufferedImage,TYPE_,variable,100
java.lang.Object,setClinicalContact,method,100
javax.xml.parsers.DocumentBuilder,newDocument,method,100
javax.swing.JCheckBox,addActionListener,method,100
org.apache.hadoop.hbase.client.Result,getRow,method,100
com.pivotal.gemfirexd.internal.iapi.sql.dictionary.ColumnDescriptor,isLob,method,100
java.lang.Object,getCurrentStatus,method,100
com.eveningoutpost.dexdrip.Models.UserError.Log,d,method,100
org.apache.commons.httpclient.HttpClient,executeMethod,method,100
java.util.concurrent.ScheduledExecutorService,schedule,method,100
java.awt.BorderLayout,WEST,variable,100
java.sql.Types,DATE,variable,100
org.telegram.SQLite.SQLiteCursor,intValue,method,100
javax.jms.Session,createQueue,method,100
org.apache.ibatis.session.SqlSession,close,method,100
ims.core.admin.vo.CareContextRefVo,getID_CareContext,method,100
android.view.View,setOnItemClickListener,method,100
org.apache.ignite.IgniteCache,get,method,100
org.mockito.Mockito,verifyNoMoreInteractions,method,100
com.metamx.common.logger.Logger,info,method,100
org.eclipse.swt.widgets.Text,setBackground,method,100
org.eclipse.swt.SWT,SEPARATOR,variable,100
ims.RefMan.domain.objects.CatsReferral,getJourney,method,100
android.util.Log,DEBUG,variable,100
com.bigdata.counters.CounterSet,addCounter,method,100
com.intellij.ide.ui.UISettings,getInstance,method,100
org.hamcrest.Matchers,notNullValue,method,100
co.nubetech.crux.model.ValueType,setClassName,method,100
java.sql.Types,FLOAT,variable,100
org.codehaus.groovy.antlr.parser.GroovyTokenTypes,LITERAL_,variable,100
javax.swing.UIDefaults,L,variable,99
javax.jcr.Node,getNode,method,99
java.io.IOException,initCause,method,99
org.onosproject.net.DeviceId,deviceId,method,99
android.text.TextUtils,join,method,99
java.io.PrintStream,flush,method,99
org.eclipse.titan.common.logging.ErrorReporter,logExceptionStackTrace,method,99
net.minecraft.util.BlockPos,getZ,method,99
android.os.Parcel,writeByte,method,99
org.apache.commons.logging.Log,isTraceEnabled,method,99
com.intellij.openapi.module.ModuleManager,getInstance,method,99
javax.jms.Session,commit,method,99
com.espertech.esper.client.scopetest.EPAssertionUtil,assertPropsPerRowAnyOrder,method,99
java.lang.String,compareToIgnoreCase,method,99
org.apache.sysml.lops.LopProperties.ExecType,CP,variable,99
java.lang.Object,setIsActive,method,99
com.jogamp.opengl.GLContext,getCurrentGL,method,99
java.awt.Graphics,drawString,method,99
java.io.Closeable,close,method,99
android.content.UriMatcher,match,method,99
org.auraframework.impl.system.DefDescriptorImpl,getInstance,method,99
org.voltdb.VoltDB.Configuration,getPathToCatalogForTest,method,99
com.rapidminer.tools.expression.ExpressionType,BOOLEAN,variable,99
java.lang.Float,floatToRawIntBits,method,99
java.awt.Font,getSize,method,99
org.eclipse.core.runtime.preferences.IEclipsePreferences,put,method,99
org.eclipse.swt.widgets.TableItem,getText,method,99
com.sun.star.beans.XPropertySet,setPropertyValue,method,99
android.database.Cursor,moveToPosition,method,99
android.view.KeyEvent,ACTION_DOWN,variable,99
org.greenrobot.eventbus.EventBus,getDefault,method,99
com.rapidminer.tools.expression.Expression,evaluateBoolean,method,99
javax.xml.transform.OutputKeys,INDENT,variable,99
kodkod.ast.Variable,unary,method,99
org.apache.pig.data.DataBag,add,method,99
java.util.List,containsKey,method,99
java.util.Locale,toString,method,99
io.debezium.relational.Table,columnWithName,method,99
net.minecraft.util.BlockPos,getX,method,99
edu.cmu.tetrad.util.TetradMatrix,get,method,99
javax.jcr.Node,getName,method,98
java.lang.reflect.Modifier,isFinal,method,98
com.intellij.util.containers.ContainerUtil,map,method,98
java.util.jar.JarFile,close,method,98
org.objectweb.asm.Type,getSort,method,98
java.util.Locale,equals,method,98
android.view.VelocityTracker,recycle,method,98
org.apache.cordova.CallbackContext,sendPluginResult,method,98
ims.core.vo.GpShortVo,getName,method,98
org.jmock.Mock,expects,method,98
org.apache.hadoop.fs.FSDataOutputStream,write,method,98
java.io.ObjectOutput,writeUTF,method,98
android.app.ProgressDialog,setIndeterminate,method,98
com.gemstone.gemfire.cache.Cache,getRegion,method,98
org.eclipse.collections.impl.test.Verify,assertSize,method,98
org.spongycastle.jcajce.provider.config.ConfigurableProvider,addAlgorithm,method,98
java.util.concurrent.TimeUnit,toNanos,method,98
java.lang.Process,getOutputStream,method,98
io.netty.handler.codec.http.HttpHeaders,N,variable,98
org.apache.jackrabbit.spi.QValueFactory,create,method,98
java.text.ParsePosition,getIndex,method,98
java.sql.Connection,prepareCall,method,97
android.view.View,setEnabled,method,97
org.springframework.mock.web.MockHttpServletRequest,setParameter,method,97
java.math.BigDecimal,subtract,method,97
com.jayway.restassured.RestAssured,given,method,97
java.nio.charset.Charset,name,method,97
java.lang.Object,add,method,97
org.apache.hadoop.fs.FileSystem,getLocal,method,97
java.net.HttpURLConnection,getResponseMessage,method,97
java.time.chrono.JapaneseChronology,INSTANCE,variable,97
android.media.MediaPlayer,isPlaying,method,97
java.nio.ByteBuffer,hasArray,method,97
org.auraframework.def.DefDescriptor,getDef,method,97
org.apache.activemq.artemis.api.core.client.ClientMessage,acknowledge,method,97
javax.swing.Timer,stop,method,97
java.util.Stack,get,method,97
com.watabou.noosa.Game,getVar,method,97
rx.Subscriber,onError,method,97
java.io.File,row,method,97
sun.util.logging.PlatformLogger,fine,method,97
org.hamcrest.Matchers,nullValue,method,97
java.awt.FlowLayout,LEFT,variable,97
org.auraframework.def.DefDescriptor,getNamespace,method,97
java.lang.Character,isLowerCase,method,97
com.skynav.ttv.model.Profile.Usage,REQUIRED,variable,97
javax.swing.Action,NAME,variable,97
com.lowagie.text.Document,add,method,97
com.facebook.presto.spi.type.StandardTypes,VARCHAR,variable,97
android.widget.ImageView,getDrawable,method,97
android.view.View,animate,method,97
java.lang.Object,name,method,97
java.awt.event.MouseEvent,getButton,method,97
android.util.Pair,second,method,97
java.util.Optional,orElse,method,97
org.alfresco.model.ContentModel,TYPE_CONTENT,variable,97
java.lang.String,tool,method,97
com.facebook.buck.testutil.integration.ProjectWorkspace,setUp,method,97
android.media.MediaPlayer,start,method,96
org.apache.cassandra.db.Keyspace,open,method,96
com.facebook.buck.testutil.integration.TestDataHelper,createProjectWorkspaceForScenario,method,96
org.olat.core.gui.render.StringOutput,append,method,96
android.view.View,setPressed,method,96
javax.xml.parsers.SAXParserFactory,newInstance,method,96
org.pentaho.di.core.row.RowMetaInterface,addValueMeta,method,96
com.intellij.openapi.util.io.FileUtil,toSystemIndependentName,method,96
org.apollo.net.codec.game.GamePacketBuilder,put,method,96
android.content.pm.ActivityInfo,SCREEN_ORIENTATION_PORTRAIT,variable,96
net.minecraft.nbt.NBTTagList,appendTag,method,96
polyglot.util.Position,compilerGenerated,method,96
org.eclipse.swt.widgets.Shell,getDisplay,method,96
javax.json.Json,createObjectBuilder,method,96
java.sql.ResultSet,updateInt,method,96
android.util.TypedValue,data,method,96
java.lang.Object,addProperty,method,96
nexcore.tool.uml.core.message.UMLMessage,getMessage,method,96
android.app.Activity,MODE_PRIVATE,variable,96
java.text.DateFormat,getDateInstance,method,96
org.telegram.ui.Components.LayoutHelper,WRAP_CONTENT,variable,96
org.apache.lucene.util.Version,LUCENE_,variable,96
java.lang.Class,get,method,96
org.apache.http.StatusLine,getStatusCode,method,96
jmri.SignalHead,getSystemName,method,96
org.json.JSONObject,getDouble,method,96
java.util.Vector,iterator,method,96
org.telegram.messenger.NotificationCenter,getInstance,method,96
java.io.File,setLastModified,method,96
java.awt.BorderLayout,EAST,variable,96
com.intellij.openapi.actionSystem.AnActionEvent,getDataContext,method,96
org.apache.camel.impl.JndiRegistry,bind,method,96
com.espertech.esper.client.scopetest.SupportUpdateListener,getAndResetLastNewData,method,96
javafx.scene.control.Button,setDisable,method,96
org.eclipse.swt.widgets.Combo,select,method,96
org.eclipse.persistence.tools.schemaframework.FieldDefinition,setSize,method,96
org.eclipse.swt.SWT,OK,variable,96
polyglot.main.Report,report,method,95
javax.naming.Context,lookup,method,95
android.graphics.Canvas,getHeight,method,95
java.util.concurrent.BlockingQueue,offer,method,95
com.oddlabs.procedural.Channel,copy,method,95
org.olat.core.gui.components.velocity.VelocityContainer,put,method,95
org.hibernate.Session,save,method,95
com.google.common.io.ByteStreams,toByteArray,method,95
com.intellij.psi.tree.IElementType,equals,method,95
processing.core.PVector,y,method,95
com.xinqihd.sns.gameserver.entity.user.User,getRoleName,method,95
com.laytonsmith.core.Static,G,variable,95
com.aol.cyclops.util.stream.StreamUtils,reactiveSeq,method,95
android.hardware.Camera,S,variable,95
android.util.SparseArray,size,method,95
org.opencms.file.CmsResource,getRootPath,method,95
org.hsqldb.HsqlNameManager.HsqlName,name,method,95
com.handstudio.android.hzgrapherlib.vo.linegraph.LineGraphVO,getArrGraph,method,95
android.view.Menu,menu_main,method,95
org.eclipse.emf.ecore.impl.MinimalEObjectImpl,C,variable,95
com.googlecode.lanterna.TextColor,ANSI,variable,95
java.util.Collections,synchronizedSet,method,95
android.widget.SeekBar,getProgress,method,95
javax.swing.JFrame,setDefaultCloseOperation,method,95
org.json.JSONObject,optBoolean,method,95
java.lang.Object,getEpisodeOfCare,method,95
com.shatteredpixel.shatteredpixeldungeon.messages.Messages,get,method,95
android.util.Log,VERBOSE,variable,95
android.view.MenuItem,setChecked,method,95
org.openrdf.sail.SailConnection,begin,method,95
android.util.Pair,first,method,95
azkaban.utils.Props,get,method,95
java.lang.Object,getValue,method,95
android.widget.GridView,setAdapter,method,95
java.sql.Types,BIT,variable,95
java.awt.Graphics,drawRect,method,95
com.intellij.codeInsight.CodeInsightBundle,message,method,94
georegression.misc.GrlConstants,FLOAT_TEST_TOL,variable,94
java.util.EnumSet,add,method,94
android.app.NotificationManager,cancel,method,94
javax.persistence.criteria.CriteriaQuery,from,method,94
org.eclipse.jface.preference.IPreferenceStore,getBoolean,method,94
com.gemstone.gemfire.cache.AttributesFactory,setPartitionAttributes,method,94
com.rapidminer.parameter.ParameterType,setExpert,method,94
java.lang.Object,notify,method,94
java.security.cert.Certificate,verify,method,94
org.springsource.loaded.ReloadableType,getClazz,method,94
java.lang.String,setText,method,94
javax.rmi.CORBA.Util,copyObject,method,94
org.kaazing.gateway.resource.address.ResourceAddress,getOption,method,94
jmri.jmrix.can.CanMessage,setElement,method,94
java.util.Queue,peek,method,94
android.graphics.Canvas,getWidth,method,94
java.util.jar.JarFile,entries,method,94
com.intellij.openapi.vfs.VirtualFile,isValid,method,94
javax.jms.Session,close,method,94
javax.swing.JLabel,setVisible,method,94
java.lang.reflect.Modifier,isAbstract,method,94
java.awt.Color,GRAY,variable,94
android.database.Cursor,isAfterLast,method,94
com.intellij.psi.PsiElement,getTextRange,method,94
javax.json.JsonObject,getString,method,94
java.io.UnsupportedEncodingException,getMessage,method,94
javacard.framework.ISOException,throwIt,method,94
com.mysql.jdbc.SQLError,createSQLException,method,94
io.netty.buffer.Unpooled,buffer,method,94
java.lang.Character,forDigit,method,94
javafx.scene.layout.StackPane,getLayoutBounds,method,94
android.os.Parcel,readByte,method,94
com.alibaba.cobar.parser.recognizer.mysql.lexer.MySQLLexer,token,method,94
org.workcraft.plugins.stg.generator.SignalStg,riseList,method,94
com.bigdata.util.BytesUtil,compareBytes,method,94
org.zstack.test.deployer.Deployer,getComponentLoader,method,94
org.eclipse.che.api.vfs.VirtualFile,createFile,method,94
ims.framework.controls.DynamicGridCell,getItems,method,94
com.google.common.cache.Cache,put,method,94
com.squareup.javapoet.MethodSpec,methodBuilder,method,94
javax.swing.JSpinner,setEnabled,method,94
jmri.Turnout,CLOSED,variable,94
java.util.concurrent.atomic.AtomicLong,getAndIncrement,method,93
android.content.res.Resources,getDrawable,method,93
com.cburch.logisim.instance.InstanceState,setPort,method,93
org.zstack.test.deployer.Deployer,getApi,method,93
org.esa.snap.core.datamodel.Band,getName,method,93
java.nio.channels.FileChannel,size,method,93
com.ibm.bi.dml.test.integration.TestConfiguration,addVariable,method,93
org.zstack.test.deployer.Deployer,build,method,93
java.net.Socket,connect,method,93
java.lang.Throwable,getLocalizedMessage,method,93
java.lang.Object,status,method,93
com.gs.collections.impl.test.Verify,assertSize,method,93
com.redhat.ceylon.compiler.typechecker.tree.Tree,D,variable,93
android.widget.ImageView,setLayoutParams,method,93
javax.swing.JButton,setActionCommand,method,93
javax.ws.rs.core.Response.Status,NOT_FOUND,variable,93
org.apache.activemq.artemis.api.core.client.ClientSession,createConsumer,method,93
android.text.SpannableStringBuilder,length,method,93
java.util.Date,compareTo,method,93
java.util.SortedSet,first,method,93
javax.jdo.Query,execute,method,93
org.bukkit.entity.Player,getWorld,method,93
com.facebook.presto.spi.type.Type,getJavaType,method,93
org.apache.cassandra.config.CFMetaData,comparator,method,93
java.awt.event.MouseEvent,getComponent,method,93
com.alibaba.rocketmq.common.protocol.ResponseCode,SUCCESS,variable,93
java.util.concurrent.TimeUnit,MICROSECONDS,variable,93
org.alfresco.util.PropertyCheck,mandatory,method,93
javax.faces.application.FacesMessage,SEVERITY_ERROR,variable,93
javax.swing.JDialog,setVisible,method,93
android.view.MotionEvent,getRawX,method,93
android.graphics.Canvas,restoreToCount,method,93
com.omertron.themoviedbapi.tools.TmdbParameters,add,method,93
org.openhab.core.events.EventPublisher,postUpdate,method,93
android.text.SpannableStringBuilder,setSpan,method,92
org.apache.commons.lang.ObjectUtils,equals,method,92
com.ximpleware.AutoPilot,evalXPath,method,92
org.eclipse.swt.events.PaintEvent,gc,method,92
javax.swing.SwingConstants,CENTER,variable,92
org.tinylog.LogEntry,getMessage,method,92
org.apache.wicket.model.Model,of,method,92
org.cerberus.util.ParameterParserUtil,parseStringParam,method,92
com.intellij.pom.java.LanguageLevel,JDK_,variable,92
co.nubetech.crux.model.FilterType,setType,method,92
org.hibernate.Session,saveOrUpdate,method,92
