name, total
ACEStream, 123
tkinter, 122
oscar, 122
newsmeme, 122
mistral, 122
gyp, 122
framework, 122
tastypie, 121
SimPEG, 121
pymclevel, 121
invoke, 121
IECoreHoudini, 121
pytest_bdd, 120
firewall, 120
anima, 120
troposphere, 119
rtorrent, 119
cassandra, 119
pylearn2, 118
intervals, 118
swift_testing, 117
nest, 117
storage, 116
sfepy, 116
ROOT, 116
pgmpy, 116
kitty, 116
instaseis, 116
privacyidea, 115
preggy, 115
mininet_test, 115
bgl, 115
BeautifulSoup, 115
poker, 114
lollypop, 114
zipline, 113
arrow, 113
progressbar, 112
beets, 112
tweepy, 111
st2common, 111
MaKaC, 111
parsing, 110
mcpi, 110
casexml, 110
airflow, 110
qad_msg, 109
dfvfs, 108
wagtail, 107
Utils, 107
pyqtgraph, 107
petl, 107
barbican, 107
pyqode, 106
neurom, 106
mapproxy, 106
jsb, 106
example, 106
cfme, 106
weechat, 105
path, 105
mockito, 105
mathics, 105
Image, 105
ujson, 104
senlin, 104
fixtures, 104
evennia, 104
bcbio, 104
timestring, 103
thinkplot, 103
accelerator_group, 103
s3fs, 102
kombu, 102
